Apple & Blackberry Crumble;A;1;Classic British dessert in smoothie form! Best of all? We keep the crunch. Get in.;delicious with milk or low fat Greek yoghurt;Our take on a classic British pud. Sweetness from perfectly ripe red and green apples, then blackberries (naturally rammed full of nutrients), finished with a dash of cinnamon. We clip on a small packet of our homemade high-protein, low sugar granola which you can add after blitzing for a crumbly crunch! Scrummy...;We experimented loads (and loads and loads) to get the apple to blackerry ratio just right. And yes, we nailed it.;Apples are super high in fibre. Great for gut health and can help prevent development of disease;Blackberries are very high in nutrients including polyphenols - antioxidants known for cancer fighing abilities;;Jayne has it every morning for a healthy breakfast. She blends it at home, takes the cup with her and has it at her desk.;Red apples, Blackberries, Frozen liquid egg white, Granola, Spinach, Raisins, Peanuts, Chia, Supergreens, Cinnamon;supergreens;364,9;86,8;3,3;0,5;11,3;8,1;1,5;3,2;Tr;red apples;blackberries;;;cinnamon;bare granola;egg white balls;raisins;peanuts;spinach;chia seeds;;;;supergreens;bare granola;;;;;healthy_meal;energy_boost;breakfast;;Apple_Blackberry_Crumble_Tailored.jpg;Apple_Blackberry_Crumble_Tailored_logo.jpg;Apple & Blackberry Crumble.pdf;15;52;34
Peachy Mangoes;A;2;Perfectly ripe peaches blitzed together with juicy mangos. Peachy.;ice-cold soya milk or skimmed milk;We take peaches picked just at the right time and speed-frozen to lock in flavour and nutrients and combine with mango for deliciousness. We add our frozen spinach balls for added goodness plus hazelnuts for their monounsaturated good fats.;;Mangos are high in potassium which helps maintain acid balance in the body;Peaches are high in vitamin C and iron, essential for red blood-cell production;;;Pineapple, Mangoes, Peaches, Frozen liquid egg white, Sweetcorn, Muesli base, Natural protein balls, Raisins, Hazelnuts, Flaxseed, Maca;maca;388,4;91,5;2,2;0,4;13,7;10,8;0,7;5,2;Tr;mango;peach;;;pineapple chunks;spinach;muesli base;raisins;natural protein balls;hazelnuts;milled flax seeds;egg white balls;;;muesli base;natural protein balls;;;;;healthy_meal;energy_boost;breakfast;;Peachy_Mangos_Tailored.jpg;Peachy_Mangos_Tailored_logo.jpg;Peachy Mangos.pdf;23;60;22
Crushed Cherries;A;3;Cherries plus a few slices of banana. Crushed.;anything really!;Cherries are not only delicious, they are a potent source of antioxidants and anti-inflammatory compounds which are great for your body. We use beautiful deep-red cherries and add banana to complement the flavour.;;Cherries are a rare natural source of hormone melatonin which can increase your sleep quality;The anti-inflammatory compounds in cherries can help protect your joints.;;;Cherries, Bananas, Muesli base, Frozen liquid egg white, Carrots, Natural protein balls, Raisins, Peanuts, Flaxseed, Maca;maca;532,6;125,7;2,6;0,7;19,5;13,6;1,9;7,4;Tr;cherries;;;;bananas;sweetcorn;milled flax seeds;muesli base;egg white balls;raisins;peanuts;natural protein balls;;;muesli base;natural protein balls;supergreens;;;;fibre;healthy_meal;superfood;;Crushed_Cherries_Tailored.jpg;Crushed_Cherries_Tailored_logo.jpg;Crushed Cherries.pdf;24;62;19
Berry Bomb;A;4;Q: How many berry types does it take to make a uber-delicious smoothie?   A: 7;anything really!;Our Berry Bomb is a potent weapon. So tasty it will blow away your taste buds. We take lingonberries from Swedish forests then mix with strawberries, cranberries, blueberries, blackberries, raspberries, goji berries, acai berries. Exploding with nutrients to keep you feeling (and looking awesome)!;"Yoggie founder Charlie's favourite. ""Lingonberries are so good for you and were my favourite food as a child. I'm half-Swedish and used to pick them in Swedish forests with my Grandmother. We source our lingonberries directly from Sweden and they make this smoothie taste extra special...""";Berries have the highest concentration of goodness among fruits.;The superfoods in this smoothie mix are known to help brain function, hormone balance and energy levels;;;Bananas, Strawberries, Blueberries, Dried cranberries, Raspberries, Blackberries, Frozen liquid egg white, Carrots, Natural protein balls, Muesli base, Cashew nuts, Goji berries, Flaxseed, Acai;acai;310,0;73,1;1,6;0,5;11,2;9,4;1,6;4,3;Tr;blueberries;raspberries;blackberries;;bananas;dried cranberries;egg white balls;sweetcorn;natural protein balls;muesli base;cashew nuts;goji berries;milled flax seeds;;muesli base;natural protein balls;;;;;healthy_meal;superfood;breakfast;;Berry_Bomb_Tailored.jpg;Berry_Bomb_Tailored_logo.jpg;Berry Bomb.pdf;24;61;19
Banana Split;A;5;Banana, strawberries plus a few special titbits for extra gorgeousness;anything really!;We start this off with fairtrade bananas and organic strawberries. We then add wheatgrass for lots of antioxidants, milled organic flaxspeed for loads of Omaga 3, rye flakes for some texture then our Yoggie Protein Balls for the perfect protein, carb and fat balance. Bananas.;;Bananas are crammed with potassium which lowers blood pressure and protects your heart;High fibre levels in banana and rye can promote feelings of fulness and lower your appetite;;;Bananas, Strawberries, Muesli base, Frozen liquid egg white, Sweetcorn, Natural protein balls, Peanuts, Raisins, Flaxseed, Baobab;baobab;519,3;122,4;2,6;0,7;18,8;12,5;2,6;7,2;Tr;bananas;;;;strawberries;peanuts;milled flax seeds;muesli base;raisins;egg white balls;natural protein balls;spinach;;;muesli base;natural protein balls;;;;;fibre;healthy_meal;energy_boost;breakfast;Banana_Split_Tailored.jpg;Banana_Split_Tailored_logo.jpg;Banana Split.pdf;23;62;19
Strawberry;A;6;Turbo tasty strawberry smoothie. 'Nuff said.;anything really!;We take beautiful organic strawberries  throw in chopped fairtrade banana, a sprig of mint, crushed sunflower seeds, natural Protein Balls, acai berries, cashews for good fats, a dash of homemade Muesli base and a teeny bit of chopped carrots. Mind-blowingly scrumptious and supercharged with nutrients. You're welcome.;Rachael is one of our nutritionists and this is her favourite. She whizzes it up in the morning and sits on the tube drinking it with one hand, scrolling through Instagram with the other…;Strawberries are full of anthocyanins which gives them their red colour. Anthocyanins are linked with increased longevity and heart health.;Carrots are excellent sources of beta carotene which helps protect your eyes and vision;;;Strawberries, Bananas, Muesli base, Raisins, Cashew nuts, Frozen liquid egg white, Natural protein balls, Sunflower seeds, Maca, Carrots;maca;431,5;101,8;2,3;0,6;15,6;10,5;2,9;5,9;Tr;strawberries;;;;bananas;cashew nuts;carrot;muesli base;egg white balls;natural protein balls;sunflower seeds;raisins;;;muesli base;natural protein balls;;;;;healthy_meal;superfood;breakfast;;Strawberry_Tailored.jpg;Strawberry_Tailored_logo.jpg;Strawberry.pdf;23;61;20
Kiwi & Mango with Raisins;A;7;Delicious, ripe kiwi slices with mango chunks and sprinkling of raisins;anything really!;Zingy kiwi slices bashed together with chunky mango bits are an incredible taste combo and source of fibre and vitamin C to boost your immune system;;Kiwi fruits are rammed with antioxidants which help your body fight everyday toxins and keep you feeling tip top;Raisins are a soure of iron and vitamin B which protect against anemia;;;Mangoes, Kiwi fruit, Frozen liquid egg white, Oats, Spinach, Natural protein balls, Raisins, Peanuts, Chia, Supergreens;supergreens;464,9;109,9;2,5;0,6;15,6;11,4;1,1;6,7;Tr;mango;kiwi fruit;raisins;;oats;egg white balls;spinach;peanuts;natural protein balls;chia seeds;;;;;;natural protein balls;;;;;healthy_meal;superfood;breakfast;;Kiwi_Mango_with_Raisins_Tailored.jpg;Kiwi_Mango_with_Raisins_Tailored_logo.jpg;Kiwis & Mangos.pdf;24;57;21
Apple & Blackberry Crumble;B;1;Classic British dessert in smoothie form! Best of all? You keep the crunch. Get in.;delicious with milk or low fat Greek yoghurt;Our take on a classic British pud. Sweetness from perfectly ripe red and green apples, then blackberries (naturally rammed full of nutrients), finished with a dash of cinnamon. We clip on a small packet of our homemade high-protein, low sugar granola which you can add after blitzing for a crumbly crunch! Scrummy...;We experimented loads (and loads and loads) to get the apple to blackerry ratio just right. And yes, we nailed it.;Apples are super high in fibre. Great for gut health and can help prevent development of disease;Blackberries are very high in nutrients including polyphenols - antioxidants known for cancer fighing abilities;;;Red apples, Blackberries, Natural protein balls, Spinach, Granola, Raisins, Peanuts, Chia, Supergreens, Cinnamon;supergreens;525,8;124,9;4,2;1,2;11,4;8,5;1,7;10,5;Tr;green apples;;;;bananas;cashew nuts;carrot;muesli base;natural protein balls;sunflower seeds;raisins;;;;muesli base;natural protein balls;;;;;lo_carb;healthy_meal;energy_boost;;Apple_Blackberry_Crumble_Tailored.jpg;Apple_Blackberry_Crumble_Tailored_logo.jpg;Apple & Blackberry Crumble.pdf;34;37;30
Strawberry;B;2;Turbo tasty strawberry smoothie. 'Nuff said.;anything really!;We take beautiful organic strawberries & throw in chopped fairtrade banana, a sprig of mint, crushed sunflower seeds, natural Protein Balls, acai berries, cashews for good fats, a dash of homemade Muesli base and a teeny bit of chopped carrots. Mind-blowingly scrumptious and supercharged with nutrients. You're welcome.;Rachael is one of our nutritionists and this is her favourite. She whizzes it up in the morning and sits on the tube drinking it with one hand, scrolling through Instagram with the other…;Strawberries are full of anthocyanins which gives them their red colour. Anthocyanins are linked with increased longevity and heart health.;Carrots are excellent sources of beta carotene which helps protect your eyes and vision;;;Strawberries, Bananas, Natural protein balls, Carrots, Muesli base, Cashew nuts, Raisins, Sunflower seeds, Maca;maca;442,3;104,5;2,4;0,8;13,4;9,9;3,2;8,3;Tr;strawberries;;;;pineapple chunks;spinach;raisins;muesli base;hazelnuts;natural protein balls;milled flax seeds;;;;muesli base;natural protein balls;supergreens;;;;healthy_meal;superfood;breakfast;;Strawberry_Tailored.jpg;Strawberry_Tailored_logo.jpg;Strawberry.pdf;32;51;21
Peachy Mangoes;B;3;Perfectly ripe peaches blitzed together with juicy mangos. Peachy.;ice-cold soya milk or skimmed milk;We take peaches picked just at the right time and speed-frozen to lock in flavour and nutrients and combine with mango for deliciousness. We add our frozen spinach balls for added goodness plus hazelnuts for their monounsaturated good fats.;;Mangos are high in potassium which helps maintain acid balance in the body;Peaches are high in vitamin C and iron, essential for red blood-cell production;;;Pineapple, Mangoes, Peaches, Natural protein balls, Sweetcorn, Muesli base, Hazelnuts, Raisins, Flaxseed, Maca;maca;453,2;106,9;2,6;0,7;13,7;10,7;0,8;8,1;Tr;mango;peach;;;pineapple chunks;spinach;raisins;muesli base;hazelnuts;natural protein balls;milled flax seeds;;;;muesli base;natural protein balls;supergreens;;;;healthy_meal;energy_boost;breakfast;;Peachy_Mangos_Tailored.jpg;Peachy_Mangos_Tailored_logo.jpg;Peachy Mangos.pdf;30;51;22
